age_group_label,n_obs,status,rsui_adf_p,age_unemp_adf_p,aic,bic,age_unemp_coef,age_unemp_pvalue
15-19 age group,21,OK,1.0,0.9342662272967557,306.46359198567126,312.7307266120118,-7.377336532989015,0.8791739330776519
20-24 age group,21,OK,1.0,0.11409637146063717,306.568618277372,312.83575290371255,-70.7265382683007,0.047984953718402314
25-29 age group,21,OK,1.0,0.9987069312410369,308.35555160111244,314.62268622745296,83.35891519046577,0.10443804073827528
30-39 age group,21,OK,1.0,0.1011700389733835,311.4799646948829,317.7470993212234,-70.80174412373306,0.44818976417509826
40+    age group,21,OK,1.0,0.026745025046293915,307.6129888557873,313.88012348212783,90.05851594137607,0.05127456808881508
