series_code,sector_name,n_obs,long_run_effect,aic,bic
NV.IND.TOTL.KD.ZG,Industry,23,-16.404873281882058,294.57249485097367,300.8396294773142
NV.SRV.TOTL.KD.ZG,Services,23,-29.514267581381183,305.3129747497632,311.58010937610374
NV.AGR.TOTL.KD.ZG,Agriculture,23,-79.99027714727949,309.06673737715585,315.33387200349637
