category_group,category_name,n_obs,long_run_effect,aic,bic
Government,Central govt employees,23,-2.239092314615332,305.8582935901494,312.1254282164899
Sectoral,Workers in Agriculture,23,2.2952618058217027,312.7216507048134,318.9887853311539
Sectoral,Workers in Industry and Commerce,23,-1.5308422356743123,312.13899356832974,318.40612819467026
Sectoral,Workers in Services,23,8.157676267365412,305.64628558200303,311.91342020834355
Wages Boards,All Wages Boards Trades,23,-50.24744596218136,300.0753072526542,306.34244187899475
