age_group_label,n_obs,long_run_effect,aic,bic
15-19 age group,21,-64.8862557280153,306.46359198567126,312.7307266120118
20-24 age group,21,2.7275199321560777,306.568618277372,312.83575290371255
25-29 age group,21,362.56530920587323,308.35555160111244,314.62268622745296
30-39 age group,21,-40.7627724473727,311.4799646948829,317.7470993212234
40+    age group,21,-262.34636458887263,307.6129888557873,313.88012348212783
