category_code,category_name,category_group,n_obs,status,rsui_adf_p,wage_adf_p,aic,bic,wage_coef,wage_pvalue
workers_in_services,Workers in Services,Sectoral,23,OK,1.0,0.2760297215380796,317.2904092762546,322.7456215430462,-42.923033696048826,0.0183822460829417
central_govt_employees,Central govt employees,Government,23,OK,1.0,0.9885975941360068,320.52262726074605,325.97783952753764,-7.649950479880691,0.1476562336253457
all_wages_boards_trades,All Wages Boards Trades,Wages Boards,23,OK,1.0,0.008676694212697806,311.33383932530836,316.78905159209995,2.998054070847084,0.33754132823277294
workers_in_industry_and_commerce,Workers in Industry and Commerce,Sectoral,23,OK,1.0,0.13502834097784056,323.6830036125321,329.1382158793237,-6.302476298444928,0.48047438740574167
workers_in_agriculture,Workers in Agriculture,Sectoral,23,OK,1.0,0.0008912783932664704,324.34454828941307,329.79976055620466,-2.092991695196866,0.7100834804674407
