exp_type_label,n_obs,long_run_effect,aic,bic
Recurrent Expediture ,21,-2.0630948837974317e-05,283.40848262529227,289.6756172516328
Capital Expenditure ,21,0.0022262750351514007,303.18676756537235,309.45390219171287
