series_code,sector_name,n_obs,status,rsui_adf_p,gdp_adf_p,aic,bic,gdp_coef,gdp_pvalue
NV.IND.TOTL.KD.ZG,Industry,23,OK,1.0,0.9927343216565899,294.57249485097367,300.8396294773142,-47.540294944173894,0.00034362366688164354
NV.SRV.TOTL.KD.ZG,Services,23,OK,1.0,0.5322300028966206,305.3129747497632,311.58010937610374,-69.70005373370549,0.023788830844804484
NV.AGR.TOTL.KD.ZG,Agriculture,23,OK,1.0,0.0270103054401164,309.06673737715585,315.33387200349637,-37.92119643627692,0.11980503269973021
