edu_label,n_obs,long_run_effect,aic,bic
Grade 5 & Below ,21,-99.17097091191452,307.8369504239649,314.1040850503054
Grade 6 - 10 ,21,-28.391120467961215,308.1789057350977,314.44604036143824
G.C.E(A/L) HNCE & ABOVE,21,22.185917333432283,310.37247164057055,316.6396062669111
G.C.E(O/L) NCGE,21,-16.77746754178213,312.63897361628847,318.906108242629
