exp_type_label,n_obs,status,rsui_adf_p,x_adf_p,aic,bic,coef,pvalue
Recurrent Expediture ,21,OK,1.0,0.9988248366397449,283.40848262529227,289.6756172516328,0.0018398159560793356,4.6562380485705035e-05
Capital Expenditure ,21,OK,1.0,0.7716908737820056,303.18676756537235,309.45390219171287,-0.003054452754559988,0.040897072854927365
