edu_label,n_obs,status,rsui_adf_p,unemp_adf_p,aic,bic,coef,pvalue
Grade 6 - 10 ,21,OK,1.0,0.7079756332384676,308.1789057350977,314.44604036143824,11.613954374467403,0.7209839656378669
Grade 5 & Below ,21,OK,1.0,0.673837870052778,307.8369504239649,314.1040850503054,-19.194804627385512,0.8569440758890161
G.C.E(A/L) HNCE & ABOVE,21,OK,1.0,0.43005818239519933,310.37247164057055,316.6396062669111,-1.5313708166804172,0.951421216885811
G.C.E(O/L) NCGE,21,OK,1.0,0.0038441307696319513,312.63897361628847,318.906108242629,0.5677849410863536,0.9888597546402098
